WR6030       各口徑在所堪用表、領表及待修表(待報銷)查詢 -麻豆服務所       列表日期：1150724
   類別：全選 
表號,廠牌,型式,購置日期,購置原價,有效期限,類別,領表日期,領表人,備註,財產取得編號
107-B-829591,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829592,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829593,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829594,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829595,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829596,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829597,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829598,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829599,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829600,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829601,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829602,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829603,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829604,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829605,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829606,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829607,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829608,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829609,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829610,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829611,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829612,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829613,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829614,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829615,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829616,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829617,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829618,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829620,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829621,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829622,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829623,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829624,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829625,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829626,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829627,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829628,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829629,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829630,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829631,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829632,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829633,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829634,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829636,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829637,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829638,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829639,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829640,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829641,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829642,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
